task_id,title,description,priority,status,assigned_to,deadline,created_at,category
601,Update Database Schema,Implement secure login using OAuth2 protocol.,Low,Completed,Charlie,2025-05-18,2025-05-09,Refactor
602,Create Unit Tests,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Eve,2025-05-11,2025-03-31,Bug
603,Update Database Schema,Improve the performance of the backend queries.,High,In Progress,Eve,2025-04-11,2025-03-30,Bug
604,Implement OAuth2,Write unit tests for the newly added features.,Medium,Completed,Diana,2025-04-28,2025-04-05,Refactor
605,Create Unit Tests,Write unit tests for the newly added features.,High,Completed,Bob,2025-05-27,2025-04-22,Refactor
606,Optimize Backend,Fix alignment and spacing issues on the mobile view.,Medium,Open,Alice,2025-05-01,2025-03-19,Improvement
607,Optimize Backend,Update the schema to support new user roles and permissions.,Medium,Completed,Eve,2025-05-02,2025-03-21,Bug
608,Update Database Schema,Implement secure login using OAuth2 protocol.,High,Open,Eve,2025-05-06,2025-03-24,Improvement
609,Update Database Schema,Complete the documentation for the public API.,Low,In Progress,Diana,2025-04-29,2025-04-11,Improvement
610,Refactor Codebase,Implement secure login using OAuth2 protocol.,Medium,In Progress,Diana,2025-05-10,2025-04-09,Feature
611,Fix UI Glitches,Write unit tests for the newly added features.,Medium,Open,Charlie,2025-05-31,2025-04-21,Refactor
612,Write API Docs,Write unit tests for the newly added features.,Low,Open,Diana,2025-05-05,2025-04-26,Bug
613,Implement OAuth2,Update the schema to support new user roles and permissions.,High,Open,Diana,2025-05-25,2025-03-28,Refactor
614,Create Unit Tests,There is a bug preventing users from logging in with valid credentials.,High,In Progress,Diana,2025-03-29,2025-03-29,Documentation
615,Design Landing Page,Improve the performance of the backend queries.,Medium,Completed,Eve,2025-05-20,2025-04-03,Refactor
616,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Alice,2025-04-13,2025-04-04,Improvement
617,Update Database Schema,Fix alignment and spacing issues on the mobile view.,Medium,Open,Diana,2025-06-11,2025-05-02,Improvement
618,Write API Docs,There is a bug preventing users from logging in with valid credentials.,Low,Open,Diana,2025-06-01,2025-04-24,Feature
619,Create Unit Tests,Update the schema to support new user roles and permissions.,Medium,Open,Diana,2025-05-08,2025-04-21,Bug
620,Write API Docs,Write unit tests for the newly added features.,Low,Completed,Eve,2025-06-12,2025-05-09,Feature
621,Implement OAuth2,Update the schema to support new user roles and permissions.,High,Open,Diana,2025-05-09,2025-03-16,Documentation
622,Fix Login Bug,Design a responsive landing page for the new campaign.,Low,In Progress,Charlie,2025-05-19,2025-03-24,Feature
623,Fix Login Bug,Fix alignment and spacing issues on the mobile view.,High,In Progress,Diana,2025-05-28,2025-04-22,Bug
624,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,Medium,Open,Eve,2025-05-09,2025-03-18,Improvement
625,Design Landing Page,Update the navigation bar as per the new UI guidelines.,Medium,Open,Diana,2025-04-01,2025-03-26,Documentation
626,Optimize Backend,Update the navigation bar as per the new UI guidelines.,High,Completed,Bob,2025-04-20,2025-04-16,Refactor
627,Fix Login Bug,Implement secure login using OAuth2 protocol.,Low,In Progress,Diana,2025-05-03,2025-03-31,Refactor
628,Implement OAuth2,Complete the documentation for the public API.,Medium,Completed,Bob,2025-05-22,2025-03-17,Bug
629,Update Database Schema,Design a responsive landing page for the new campaign.,High,In Progress,Alice,2025-05-11,2025-04-28,Improvement
630,Design Landing Page,Improve the performance of the backend queries.,Medium,Completed,Eve,2025-04-10,2025-03-20,Documentation
631,Fix UI Glitches,Update the schema to support new user roles and permissions.,Medium,Completed,Bob,2025-06-08,2025-04-09,Feature
632,Implement OAuth2,Update the navigation bar as per the new UI guidelines.,Low,In Progress,Alice,2025-04-26,2025-04-21,Documentation
633,Update Database Schema,Update the navigation bar as per the new UI guidelines.,Medium,Completed,Diana,2025-05-17,2025-04-12,Improvement
634,Write API Docs,Update the schema to support new user roles and permissions.,Medium,Open,Charlie,2025-04-27,2025-03-27,Documentation
635,Fix Login Bug,Improve the performance of the backend queries.,Medium,In Progress,Alice,2025-05-10,2025-04-28,Documentation
636,Optimize Backend,Write unit tests for the newly added features.,Low,Open,Diana,2025-05-29,2025-04-18,Documentation
637,Refactor Codebase,Improve the performance of the backend queries.,Low,Open,Bob,2025-05-08,2025-03-19,Bug
638,Design Landing Page,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Eve,2025-05-23,2025-03-23,Feature
639,Create Unit Tests,Refactor the legacy code for better readability.,Low,In Progress,Diana,2025-04-17,2025-03-30,Refactor
640,Refactor Codebase,Design a responsive landing page for the new campaign.,High,Open,Alice,2025-05-29,2025-05-03,Documentation
641,Update Database Schema,Update the schema to support new user roles and permissions.,Low,Completed,Charlie,2025-04-16,2025-04-07,Feature
642,Fix UI Glitches,Fix alignment and spacing issues on the mobile view.,High,In Progress,Alice,2025-05-02,2025-04-21,Bug
643,Write API Docs,Update the schema to support new user roles and permissions.,Medium,Completed,Diana,2025-04-28,2025-03-19,Bug
644,Optimize Backend,Implement secure login using OAuth2 protocol.,Low,Completed,Charlie,2025-04-24,2025-04-22,Bug
645,Optimize Backend,Fix alignment and spacing issues on the mobile view.,Low,Open,Eve,2025-05-18,2025-05-03,Feature
646,Implement OAuth2,Refactor the legacy code for better readability.,Low,In Progress,Bob,2025-03-29,2025-03-17,Improvement
647,Fix UI Glitches,Update the schema to support new user roles and permissions.,Medium,In Progress,Alice,2025-05-24,2025-04-13,Refactor
648,Fix UI Glitches,Design a responsive landing page for the new campaign.,Medium,Open,Diana,2025-06-01,2025-04-11,Bug
649,Write API Docs,Update the navigation bar as per the new UI guidelines.,High,Completed,Bob,2025-06-13,2025-05-02,Refactor
650,Create Unit Tests,Design a responsive landing page for the new campaign.,Low,Open,Charlie,2025-05-06,2025-04-29,Refactor
651,Fix Login Bug,Implement secure login using OAuth2 protocol.,Medium,Open,Charlie,2025-05-18,2025-04-01,Bug
652,Implement OAuth2,Implement secure login using OAuth2 protocol.,Low,Open,Diana,2025-03-24,2025-03-17,Feature
653,Fix Login Bug,Improve the performance of the backend queries.,Low,Completed,Bob,2025-05-24,2025-05-05,Improvement
654,Design Landing Page,Improve the performance of the backend queries.,Low,In Progress,Eve,2025-06-06,2025-04-12,Bug
655,Optimize Backend,Improve the performance of the backend queries.,High,Open,Bob,2025-05-15,2025-03-31,Improvement
656,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,High,Completed,Diana,2025-04-18,2025-03-22,Documentation
657,Update Database Schema,Design a responsive landing page for the new campaign.,High,Open,Alice,2025-05-12,2025-04-30,Improvement
658,Refactor Codebase,Refactor the legacy code for better readability.,Medium,Completed,Bob,2025-04-19,2025-04-15,Refactor
659,Implement OAuth2,Complete the documentation for the public API.,High,In Progress,Eve,2025-05-30,2025-04-01,Bug
660,Update Database Schema,There is a bug preventing users from logging in with valid credentials.,Medium,Completed,Eve,2025-06-10,2025-04-06,Documentation
661,Refactor Codebase,Write unit tests for the newly added features.,High,Completed,Bob,2025-05-08,2025-04-02,Improvement
662,Fix Login Bug,Refactor the legacy code for better readability.,Low,In Progress,Eve,2025-06-04,2025-04-09,Feature
663,Update Database Schema,Write unit tests for the newly added features.,Low,In Progress,Charlie,2025-05-03,2025-04-05,Bug
664,Fix Login Bug,Fix alignment and spacing issues on the mobile view.,High,Open,Bob,2025-06-01,2025-03-25,Bug
665,Design Landing Page,Update the navigation bar as per the new UI guidelines.,Low,Completed,Charlie,2025-05-15,2025-05-05,Feature
666,Optimize Backend,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Diana,2025-05-24,2025-05-08,Bug
667,Design Landing Page,Design a responsive landing page for the new campaign.,High,Completed,Eve,2025-05-23,2025-04-17,Documentation
668,Optimize Backend,Complete the documentation for the public API.,High,Completed,Diana,2025-05-08,2025-03-31,Improvement
669,Design Landing Page,Improve the performance of the backend queries.,Low,Open,Bob,2025-06-07,2025-05-13,Documentation
670,Design Landing Page,There is a bug preventing users from logging in with valid credentials.,Low,Open,Alice,2025-04-20,2025-04-10,Refactor
671,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Alice,2025-04-27,2025-04-13,Improvement
672,Fix UI Glitches,Fix alignment and spacing issues on the mobile view.,High,Open,Bob,2025-06-03,2025-04-24,Feature
673,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,Low,Open,Bob,2025-06-10,2025-04-02,Improvement
674,Design Landing Page,Improve the performance of the backend queries.,Medium,Completed,Alice,2025-06-09,2025-05-06,Bug
675,Refactor Codebase,Fix alignment and spacing issues on the mobile view.,Low,In Progress,Bob,2025-04-18,2025-04-07,Bug
676,Refactor Codebase,Update the schema to support new user roles and permissions.,Low,Open,Charlie,2025-05-08,2025-04-19,Documentation
677,Implement OAuth2,Implement secure login using OAuth2 protocol.,High,In Progress,Alice,2025-05-10,2025-03-20,Bug
678,Create Unit Tests,There is a bug preventing users from logging in with valid credentials.,High,In Progress,Charlie,2025-05-08,2025-04-06,Improvement
679,Fix UI Glitches,Improve the performance of the backend queries.,Medium,In Progress,Alice,2025-05-06,2025-04-25,Bug
680,Design Landing Page,Update the navigation bar as per the new UI guidelines.,Low,Completed,Bob,2025-04-17,2025-04-11,Refactor
681,Optimize Backend,Write unit tests for the newly added features.,High,Completed,Diana,2025-05-03,2025-03-22,Improvement
682,Update Database Schema,Improve the performance of the backend queries.,Low,Open,Bob,2025-05-26,2025-04-29,Improvement
683,Design Landing Page,Update the schema to support new user roles and permissions.,Medium,Open,Eve,2025-05-27,2025-03-21,Refactor
684,Write API Docs,Update the schema to support new user roles and permissions.,Medium,In Progress,Eve,2025-05-22,2025-05-09,Documentation
685,Fix UI Glitches,Improve the performance of the backend queries.,Low,Completed,Diana,2025-05-11,2025-03-29,Bug
686,Update Database Schema,Write unit tests for the newly added features.,Low,In Progress,Charlie,2025-05-21,2025-05-13,Bug
687,Create Unit Tests,Complete the documentation for the public API.,Medium,Open,Bob,2025-05-16,2025-03-21,Bug
688,Create Unit Tests,Implement secure login using OAuth2 protocol.,Medium,Open,Bob,2025-04-21,2025-03-24,Bug
689,Optimize Backend,Fix alignment and spacing issues on the mobile view.,Medium,Open,Eve,2025-03-28,2025-03-24,Bug
690,Implement OAuth2,Design a responsive landing page for the new campaign.,Low,Open,Charlie,2025-04-05,2025-03-19,Documentation
691,Refactor Codebase,Implement secure login using OAuth2 protocol.,High,Completed,Bob,2025-05-07,2025-05-05,Feature
692,Create Unit Tests,Refactor the legacy code for better readability.,Medium,Completed,Eve,2025-05-23,2025-05-08,Bug
693,Update Database Schema,Write unit tests for the newly added features.,Low,Completed,Eve,2025-05-28,2025-04-26,Documentation
694,Fix UI Glitches,Fix alignment and spacing issues on the mobile view.,Low,Completed,Eve,2025-05-26,2025-04-21,Feature
695,Design Landing Page,Improve the performance of the backend queries.,Low,In Progress,Alice,2025-03-20,2025-03-16,Refactor
696,Fix UI Glitches,against,,In Progress,Diana,2025-05-09,2025-04-20,Improvement
697,Implement OAuth2,Implement secure login using OAuth2 protocol.,Medium,Completed,Diana,2025-05-24,2025-03-25,Bug
698,Refactor Codebase,Fix alignment and spacing issues on the mobile view.,High,Completed,Eve,2025-03-29,2025-03-21,Improvement
699,Refactor Codebase,Design a responsive landing page for the new campaign.,High,Open,Alice,2025-06-09,2025-04-13,Refactor
700,Refactor Codebase,Fix alignment and spacing issues on the mobile view.,Medium,In Progress,Eve,2025-06-12,2025-04-16,Feature
701,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,Low,Open,Charlie,2025-06-06,2025-04-28,Feature
702,Fix UI Glitches,Improve the performance of the backend queries.,Low,In Progress,Diana,2025-06-07,2025-04-06,Bug
703,Refactor Codebase,Improve the performance of the backend queries.,Low,In Progress,Eve,2025-04-12,2025-04-03,Refactor
704,Design Landing Page,Fix alignment and spacing issues on the mobile view.,High,In Progress,Diana,2025-04-27,2025-04-01,Documentation
705,Write API Docs,Refactor the legacy code for better readability.,High,In Progress,Eve,2025-06-10,2025-04-01,Improvement
706,Write API Docs,Update the navigation bar as per the new UI guidelines.,Low,Completed,Alice,2025-04-28,2025-04-04,Bug
707,Design Landing Page,Refactor the legacy code for better readability.,Medium,Open,Charlie,2025-06-11,2025-04-14,Improvement
708,Optimize Backend,Implement secure login using OAuth2 protocol.,High,Open,Diana,2025-05-30,2025-04-10,Documentation
709,Create Unit Tests,There is a bug preventing users from logging in with valid credentials.,Medium,Completed,Eve,2025-06-07,2025-04-20,Feature
710,Fix Login Bug,Complete the documentation for the public API.,Medium,In Progress,Eve,2025-05-31,2025-05-09,Feature
711,Design Landing Page,There is a bug preventing users from logging in with valid credentials.,Low,Open,Bob,2025-05-26,2025-04-06,Documentation
712,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,Medium,Completed,Bob,2025-05-23,2025-04-14,Improvement
713,Create Unit Tests,Design a responsive landing page for the new campaign.,High,Completed,Eve,2025-05-15,2025-03-26,Feature
714,Refactor Codebase,Complete the documentation for the public API.,High,In Progress,Diana,2025-04-19,2025-03-16,Improvement
715,Create Unit Tests,Update the schema to support new user roles and permissions.,High,Open,Eve,2025-06-04,2025-05-13,Improvement
716,Create Unit Tests,Complete the documentation for the public API.,Medium,Open,Charlie,2025-06-10,2025-05-07,Documentation
717,Design Landing Page,Design a responsive landing page for the new campaign.,High,Open,Charlie,2025-06-13,2025-04-03,Bug
718,Write API Docs,Complete the documentation for the public API.,High,In Progress,Eve,2025-05-15,2025-05-03,Bug
719,Write API Docs,Design a responsive landing page for the new campaign.,High,Open,Alice,2025-06-07,2025-04-21,Documentation
720,Optimize Backend,Fix alignment and spacing issues on the mobile view.,Low,Open,Alice,2025-05-19,2025-04-19,Feature
721,Optimize Backend,Update the schema to support new user roles and permissions.,Low,Completed,Charlie,2025-05-26,2025-04-04,Documentation
722,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,Low,In Progress,Bob,2025-04-14,2025-03-18,Feature
723,Fix UI Glitches,Fix alignment and spacing issues on the mobile view.,High,In Progress,Diana,2025-05-16,2025-04-14,Improvement
724,Fix UI Glitches,Refactor the legacy code for better readability.,High,In Progress,Alice,2025-05-25,2025-03-28,Feature
725,Implement OAuth2,There is a bug preventing users from logging in with valid credentials.,Low,Open,Charlie,2025-05-24,2025-04-24,Bug
726,Fix UI Glitches,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Diana,2025-06-07,2025-04-18,Refactor
727,Fix Login Bug,Update the schema to support new user roles and permissions.,Medium,Completed,Charlie,2025-05-16,2025-03-22,Improvement
728,Update Database Schema,Write unit tests for the newly added features.,Low,Completed,Alice,2025-05-02,2025-03-23,Bug
729,Fix UI Glitches,Design a responsive landing page for the new campaign.,Low,Completed,Eve,2025-05-26,2025-05-13,Documentation
730,Fix Login Bug,Fix alignment and spacing issues on the mobile view.,Low,Completed,Charlie,2025-04-29,2025-04-15,Documentation
731,Create Unit Tests,Update the navigation bar as per the new UI guidelines.,Low,In Progress,Eve,2025-05-30,2025-04-16,Feature
732,Implement OAuth2,Design a responsive landing page for the new campaign.,Medium,In Progress,Alice,2025-05-22,2025-05-13,Feature
733,Write API Docs,Fix alignment and spacing issues on the mobile view.,High,In Progress,Bob,2025-04-30,2025-03-25,Refactor
734,Fix UI Glitches,There is a bug preventing users from logging in with valid credentials.,High,In Progress,Charlie,2025-05-02,2025-04-24,Improvement
735,Create Unit Tests,Implement secure login using OAuth2 protocol.,Medium,Open,Bob,2025-03-25,2025-03-22,Refactor
736,Fix Login Bug,Write unit tests for the newly added features.,High,Open,Eve,2025-04-23,2025-04-05,Feature
737,Update Database Schema,Implement secure login using OAuth2 protocol.,Low,Open,Bob,2025-05-02,2025-03-30,Refactor
738,Fix UI Glitches,Write unit tests for the newly added features.,High,Completed,Eve,2025-05-14,2025-04-26,Bug
739,Fix Login Bug,Complete the documentation for the public API.,High,In Progress,Charlie,2025-06-11,2025-03-23,Feature
740,Design Landing Page,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Eve,2025-04-24,2025-04-23,Documentation
741,Update Database Schema,Update the schema to support new user roles and permissions.,Medium,In Progress,Bob,2025-06-05,2025-03-25,Feature
742,Implement OAuth2,Implement secure login using OAuth2 protocol.,High,In Progress,Alice,2025-06-08,2025-04-05,Feature
743,Fix Login Bug,Update the schema to support new user roles and permissions.,High,In Progress,Alice,2025-05-07,2025-03-24,Bug
744,Fix Login Bug,Implement secure login using OAuth2 protocol.,High,In Progress,Eve,2025-04-26,2025-04-18,Refactor
745,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,Low,In Progress,Diana,2025-05-01,2025-04-14,Refactor
746,Optimize Backend,Complete the documentation for the public API.,Medium,Open,Alice,2025-04-09,2025-03-30,Refactor
747,Create Unit Tests,Refactor the legacy code for better readability.,Low,Open,Alice,2025-05-12,2025-03-19,Bug
748,Design Landing Page,Design a responsive landing page for the new campaign.,Low,Open,Charlie,2025-05-22,2025-04-15,Bug
749,Optimize Backend,Design a responsive landing page for the new campaign.,High,In Progress,Alice,2025-05-17,2025-05-06,Improvement
750,Fix UI Glitches,Write unit tests for the newly added features.,High,In Progress,Alice,2025-05-10,2025-05-01,Bug
751,Update Database Schema,There is a bug preventing users from logging in with valid credentials.,High,In Progress,Bob,2025-05-27,2025-04-25,Improvement
752,Optimize Backend,Complete the documentation for the public API.,High,In Progress,Bob,2025-06-07,2025-05-08,Feature
753,Create Unit Tests,Refactor the legacy code for better readability.,Low,In Progress,Alice,2025-06-06,2025-04-07,Documentation
754,Fix UI Glitches,Improve the performance of the backend queries.,Low,Completed,Alice,2025-05-25,2025-05-14,Feature
755,Refactor Codebase,Design a responsive landing page for the new campaign.,Medium,Completed,Eve,2025-05-29,2025-04-01,Bug
756,Design Landing Page,Complete the documentation for the public API.,Low,In Progress,Bob,2025-05-25,2025-03-16,Bug
757,Refactor Codebase,Improve the performance of the backend queries.,Medium,In Progress,Eve,2025-05-30,2025-04-06,Improvement
758,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,High,In Progress,Alice,2025-06-10,2025-04-29,Bug
759,Fix UI Glitches,Design a responsive landing page for the new campaign.,Medium,In Progress,Bob,2025-05-08,2025-03-27,Feature
760,Implement OAuth2,Design a responsive landing page for the new campaign.,Low,In Progress,Bob,2025-05-14,2025-04-24,Refactor
761,Refactor Codebase,Implement secure login using OAuth2 protocol.,High,Open,Diana,2025-04-24,2025-04-16,Refactor
762,Fix Login Bug,There is a bug preventing users from logging in with valid credentials.,High,In Progress,Bob,2025-04-24,2025-03-28,Refactor
763,Fix UI Glitches,Fix alignment and spacing issues on the mobile view.,Medium,In Progress,Diana,2025-06-04,2025-05-13,Improvement
764,Fix Login Bug,Complete the documentation for the public API.,High,Completed,Diana,2025-05-18,2025-05-07,Bug
765,Fix UI Glitches,Update the navigation bar as per the new UI guidelines.,Low,Completed,Charlie,2025-05-10,2025-04-25,Improvement
766,Fix UI Glitches,Improve the performance of the backend queries.,Medium,Completed,Alice,2025-05-13,2025-05-06,Improvement
767,Refactor Codebase,Write unit tests for the newly added features.,Low,In Progress,Diana,2025-04-23,2025-04-16,Feature
768,Optimize Backend,Write unit tests for the newly added features.,High,Completed,Alice,2025-04-07,2025-04-06,Improvement
769,Fix Login Bug,Fix alignment and spacing issues on the mobile view.,High,Open,Eve,2025-04-21,2025-04-07,Improvement
770,Fix UI Glitches,There is a bug preventing users from logging in with valid credentials.,Medium,In Progress,Eve,2025-04-30,2025-04-15,Refactor
771,Optimize Backend,Design a responsive landing page for the new campaign.,High,In Progress,Charlie,2025-06-09,2025-04-12,Feature
772,Create Unit Tests,There is a bug preventing users from logging in with valid credentials.,Medium,In Progress,Bob,2025-03-29,2025-03-29,Improvement
773,Create Unit Tests,Improve the performance of the backend queries.,Medium,In Progress,Alice,2025-05-20,2025-04-23,Documentation
774,Fix UI Glitches,Implement secure login using OAuth2 protocol.,Medium,In Progress,Bob,2025-05-01,2025-04-17,Documentation
775,Update Database Schema,Fix alignment and spacing issues on the mobile view.,High,Completed,Eve,2025-04-29,2025-04-04,Improvement
776,Implement OAuth2,Update the navigation bar as per the new UI guidelines.,Low,Open,Alice,2025-04-17,2025-03-28,Improvement
777,Refactor Codebase,Refactor the legacy code for better readability.,Low,In Progress,Alice,2025-06-01,2025-04-02,Documentation
778,Fix Login Bug,Implement secure login using OAuth2 protocol.,Low,In Progress,Diana,2025-04-03,2025-03-17,Improvement
779,Fix UI Glitches,Update the navigation bar as per the new UI guidelines.,Medium,Completed,Alice,2025-04-19,2025-04-12,Refactor
780,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,Medium,In Progress,Diana,2025-05-28,2025-05-08,Documentation
781,Write API Docs,There is a bug preventing users from logging in with valid credentials.,High,In Progress,Charlie,2025-06-03,2025-05-14,Feature
782,Optimize Backend,Implement secure login using OAuth2 protocol.,Low,In Progress,Bob,2025-05-12,2025-05-10,Feature
783,Write API Docs,Update the navigation bar as per the new UI guidelines.,Medium,Completed,Bob,2025-05-14,2025-05-08,Refactor
784,Write API Docs,Fix alignment and spacing issues on the mobile view.,Medium,Open,Charlie,2025-05-16,2025-04-28,Documentation
785,Fix Login Bug,Design a responsive landing page for the new campaign.,Low,Open,Eve,2025-06-08,2025-05-12,Documentation
786,Write API Docs,Refactor the legacy code for better readability.,Medium,In Progress,Alice,2025-05-31,2025-05-08,Feature
787,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,Low,In Progress,Eve,2025-05-10,2025-04-28,Improvement
788,Design Landing Page,Fix alignment and spacing issues on the mobile view.,Medium,Open,Charlie,2025-04-07,2025-03-23,Documentation
789,Implement OAuth2,Implement secure login using OAuth2 protocol.,Low,Completed,Alice,2025-05-09,2025-05-04,Bug
790,Optimize Backend,Design a responsive landing page for the new campaign.,High,Open,Diana,2025-06-05,2025-05-11,Improvement
791,Create Unit Tests,Implement secure login using OAuth2 protocol.,High,In Progress,Diana,2025-06-03,2025-04-04,Feature
792,Refactor Codebase,Implement secure login using OAuth2 protocol.,High,In Progress,Charlie,2025-05-30,2025-05-02,Refactor
793,Fix UI Glitches,Update the navigation bar as per the new UI guidelines.,Low,Completed,Bob,2025-05-31,2025-04-18,Bug
794,Implement OAuth2,Refactor the legacy code for better readability.,Medium,Completed,Diana,2025-03-21,2025-03-21,Bug
795,Design Landing Page,There is a bug preventing users from logging in with valid credentials.,Medium,Completed,Alice,2025-05-05,2025-03-31,Feature
796,Fix UI Glitches,Update the schema to support new user roles and permissions.,High,In Progress,Eve,2025-05-09,2025-04-28,Improvement
797,Write API Docs,Improve the performance of the backend queries.,Medium,Completed,Alice,2025-04-19,2025-04-11,Documentation
798,Create Unit Tests,Write unit tests for the newly added features.,Medium,In Progress,Diana,2025-05-20,2025-05-13,Feature
799,Design Landing Page,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Bob,2025-06-11,2025-05-04,Documentation
800,Fix Login Bug,Write unit tests for the newly added features.,High,In Progress,Bob,2025-06-09,2025-04-20,Refactor
801,Optimize Backend,Fix alignment and spacing issues on the mobile view.,High,Open,Bob,2025-06-11,2025-05-01,Documentation
802,Optimize Backend,Implement secure login using OAuth2 protocol.,Low,Completed,Diana,2025-05-24,2025-03-25,Documentation
803,Design Landing Page,Write unit tests for the newly added features.,Medium,In Progress,Bob,2025-05-19,2025-04-05,Documentation
804,Fix Login Bug,Update the schema to support new user roles and permissions.,Low,Open,Charlie,2025-06-12,2025-05-07,Refactor
805,Write API Docs,Complete the documentation for the public API.,High,In Progress,Eve,2025-05-05,2025-04-27,Improvement
806,Optimize Backend,Refactor the legacy code for better readability.,Medium,Open,Eve,2025-04-22,2025-03-30,Feature
807,Refactor Codebase,Refactor the legacy code for better readability.,High,Completed,Alice,2025-05-03,2025-04-27,Refactor
808,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Alice,2025-05-18,2025-03-23,Improvement
809,Fix UI Glitches,Refactor the legacy code for better readability.,Low,In Progress,Diana,2025-04-18,2025-03-24,Improvement
810,Implement OAuth2,There is a bug preventing users from logging in with valid credentials.,High,In Progress,Bob,2025-04-30,2025-04-23,Bug
811,Fix Login Bug,Refactor the legacy code for better readability.,High,Completed,Charlie,2025-05-03,2025-04-28,Improvement
812,Fix UI Glitches,Implement secure login using OAuth2 protocol.,High,Completed,Alice,2025-06-07,2025-05-03,Bug
813,Fix UI Glitches,Complete the documentation for the public API.,Low,Completed,Diana,2025-05-17,2025-04-29,Refactor
814,Optimize Backend,Update the schema to support new user roles and permissions.,Low,Completed,Diana,2025-05-14,2025-04-16,Documentation
815,Update Database Schema,Update the navigation bar as per the new UI guidelines.,Low,Open,Diana,2025-05-10,2025-05-07,Feature
816,Update Database Schema,Refactor the legacy code for better readability.,Low,Open,Charlie,2025-05-28,2025-04-16,Documentation
817,Refactor Codebase,Implement secure login using OAuth2 protocol.,High,Open,Eve,2025-05-11,2025-05-07,Refactor
818,Design Landing Page,Improve the performance of the backend queries.,High,In Progress,Alice,2025-05-18,2025-05-01,Bug
819,Implement OAuth2,Design a responsive landing page for the new campaign.,Low,In Progress,Eve,2025-04-08,2025-04-04,Refactor
820,Design Landing Page,Design a responsive landing page for the new campaign.,Medium,In Progress,Charlie,2025-05-25,2025-04-02,Improvement
821,Create Unit Tests,Update the schema to support new user roles and permissions.,Low,In Progress,Eve,2025-05-21,2025-05-12,Refactor
822,Optimize Backend,Update the schema to support new user roles and permissions.,Medium,Completed,Eve,2025-04-21,2025-04-21,Refactor
823,Design Landing Page,There is a bug preventing users from logging in with valid credentials.,Medium,Completed,Diana,2025-05-16,2025-04-24,Improvement
824,Write API Docs,There is a bug preventing users from logging in with valid credentials.,Low,Open,Eve,2025-05-06,2025-03-29,Documentation
825,Fix Login Bug,Update the schema to support new user roles and permissions.,Medium,In Progress,Diana,2025-06-01,2025-03-25,Documentation
826,Refactor Codebase,There is a bug preventing users from logging in with valid credentials.,Medium,Completed,Alice,2025-06-07,2025-05-07,Refactor
827,Optimize Backend,Complete the documentation for the public API.,High,In Progress,Eve,2025-05-26,2025-03-28,Refactor
828,Optimize Backend,Implement secure login using OAuth2 protocol.,Medium,Open,Diana,2025-06-04,2025-05-05,Refactor
829,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,High,In Progress,Eve,2025-05-25,2025-04-29,Improvement
830,Write API Docs,There is a bug preventing users from logging in with valid credentials.,Low,In Progress,Charlie,2025-06-05,2025-04-26,Documentation
831,Optimize Backend,There is a bug preventing users from logging in with valid credentials.,Low,In Progress,Diana,2025-05-24,2025-04-19,Refactor
832,Optimize Backend,Fix alignment and spacing issues on the mobile view.,High,In Progress,Bob,2025-05-08,2025-05-06,Bug
833,Create Unit Tests,Update the schema to support new user roles and permissions.,High,In Progress,Eve,2025-04-24,2025-04-20,Bug
834,Implement OAuth2,Design a responsive landing page for the new campaign.,Medium,Completed,Eve,2025-05-13,2025-04-18,Bug
835,Fix UI Glitches,Refactor the legacy code for better readability.,High,Open,Diana,2025-04-26,2025-04-21,Refactor
836,Write API Docs,Complete the documentation for the public API.,Low,In Progress,Alice,2025-05-21,2025-05-11,Feature
837,Fix UI Glitches,Refactor the legacy code for better readability.,Medium,Completed,Charlie,2025-05-03,2025-03-23,Bug
838,Fix UI Glitches,Implement secure login using OAuth2 protocol.,High,In Progress,Charlie,2025-04-30,2025-04-06,Refactor
839,Implement OAuth2,Write unit tests for the newly added features.,Medium,In Progress,Alice,2025-04-12,2025-03-28,Documentation
840,Update Database Schema,Update the schema to support new user roles and permissions.,Low,Open,Alice,2025-06-01,2025-04-19,Refactor
841,Write API Docs,Design a responsive landing page for the new campaign.,Medium,Open,Charlie,2025-05-11,2025-05-01,Bug
842,Write API Docs,Improve the performance of the backend queries.,High,In Progress,Charlie,2025-04-28,2025-04-20,Improvement
